Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
4026.124483,247.341172,3485.5272,0.654909091
7943.467556,208.6000563,2559.3633,0.613747475
7943.467556,166.0691008,5384.104256,0.739292929
10587.19792,11.97201598,3734.413,0.665969697
10587.19792,11.98309383,3489.130056,0.655070707
10587.19792,97.80390808,3113.474414,0.638373737
5698.42614,20.10049361,3363.654861,0.649494949
5698.42614,105.073162,2584.951726,0.614878788
1833.556941,82.42219738,511.8633333,0.522747475
1833.556941,68.16644833,790.3675604,0.535121212
1833.556941,65.45170705,531.3260476,0.523606061
7760.583608,33.38119583,2060.889824,0.591585859
7760.583608,49.65889021,2047.453333,0.590989899
7760.583608,215.6570882,145,0.506444444
2192.453333,47.13594816,3161.470242,0.640505051
2192.453333,28.67711617,2538.223543,0.612808081
6447.906769,29.57055606,1117.973679,0.549686869
6447.906769,41.25727564,1915.226973,0.585111111
6447.906769,45.00845693,3414.706117,0.651757576
6604.527444,69.5124502,762,0.533858586
6604.527444,58.15548756,5842.527444,0.759666667
13654.12504,28.27103132,7271.279626,0.823161616
13654.12504,48.31768106,2747.2056,0.622090909
14542.55925,28.27103132,3635.639813,0.661575758
19475.8383,87.72735076,12399.90286,1.05110101
19475.8383,43.80116291,2535.878957,0.61269697
19475.8383,32.24459915,4540.056483,0.701777778
16330.9177,1.439546383,5641.666766,0.750737374
16330.9177,57.99465678,5505.58325,0.744686869
16330.9177,48.06582396,5406.944348,0.74030303
11027.31542,17.17788803,5282.306583,0.734767677
11027.31542,83.56339093,5521.732167,0.74540404
12806.05199,29.145792,3506.738087,0.655848485
12806.05199,145.2930765,4223.887017,0.687727273
12806.05199,11.73243019,2175.205741,0.596666667
5460.356267,72.27763086,7124.108167,0.816626263
5460.356267,57.47327269,1236.46925,0.554949495
18992.93242,13.71415295,1200.642717,0.553353535
18992.93242,106.9163471,8896.14485,0.895383838
14650.60909,114.4359109,8896.14485,0.895383838
14650.60909,13.4249062,5754.46424,0.755747475
5144.384418,163.0966351,1988.065081,0.588353535
5144.384418,103.5980205,6489.602526,0.788424242
19185.33746,154.4885337,1168.254255,0.551919192
19185.33746,50.70652357,12695.73493,1.064252525
5002.628237,10.62090083,2900.785793,0.628919192
5002.628237,44.93424062,1201.123144,0.553373737
5002.628237,33.58035531,1682.503232,0.574777778
5840.578946,28.32129047,900.7193,0.540030303
5840.578946,155.891778,4158.075714,0.68479798
5626.193218,17.50110615,1781.3506,0.579161616
5626.193218,7.818441165,1574.637818,0.569979798
4240.016455,4.655827932,2476.917582,0.610080808
4240.016455,20.31906025,2458.665855,0.609272727
3204.75,35.84387029,1828,0.581242424
3204.75,107.0808676,739.75,0.532868687
3204.75,136.3115008,637,0.52830303
3583.749738,33.38119583,1030.444912,0.545787879
3583.749738,26.69164862,1226.450716,0.554505051
3583.749738,81.28907222,1326.854111,0.558969697
3140.735121,47.13594816,1580.735121,0.570252525
3140.735121,96.95805351,1560,0.569333333
16401.1531,39.77101097,4171.321783,0.685383838
